"survey","item","variable","values"
"abk2016_us","gen_clicon_4","ccc_1","c(4:1)"
"abk2016_us","gen_clicon_4","ccc_2","c(4:1)"
"abk2016_us","gen_clicon_4","ccc_3","c(4:1)"
"abk2016_us","climate_chg_3","ccknow_1","c(2,3,1)"
"abk2016_us","climate_chg_3","ccknow_3","c(2,3,1)"
"abk2016_us","gen_clicon_5","ccint_1","c(1:5)"
"abk2016_de","gen_clicon_4","ccc_1","c(4:1)"
"abk2016_de","gen_clicon_4","ccc_2","c(4:1)"
"abk2016_de","gen_clicon_4","ccc_3","c(4:1)"
"abk2016_de","climate_chg_3","ccknow_1","c(2,3,1)"
"abk2016_de","climate_chg_3","ccknow_3","c(2,3,1)"
"abk2016_de","gen_clicon_5","ccint_1","c(1:5)"
"ess8","spe_indchge_11","eneffap","c(0:10)"
"ess8","spe_indchge_6","rdcenr","c(1:6)"
"ess8","sup_govaction_5","elgcoal","c(1:5)"
"ess8","sup_govaction_5","elgngas","c(1:5)"
"ess8","sup_govaction_5","elghydr","c(5:1)"
"ess8","sup_govaction_5","elgnuc","c(5:1)"
"ess8","sup_govaction_5","elgsun","c(5:1)"
"ess8","sup_govaction_5","elgwind","c(5:1)"
"ess8","sup_govaction_5","elgbio","c(5:1)"
"ess8","gen_clicon_5","wrntdis","c(1:5)"
"ess8","climate_chg_4","clmchng","c(4:1)"
"ess8","climate_tax_5","inctxff","c(5:1)"
"ess8","sup_govaction_5","sbsrnen","c(5:1)"
"ess8","sup_govaction_5","banhhap","c(5:1)"
"ess10_c","climate_chg_6","ccnthum","C(55,1, 2, 3, 4, 5)"
"ess10_c","gen_clicon_5","wrclmch","C(1:5)"
"eib2021","gen_clicon_2","q1r3","c(2:1)"
"eib2021","gen_clicon_2","q3","c(1:4)"
"eib2021","ind_change_4","q5","c(4, 3, 1, 2)"
"eib2021","sup_govaction_2","q9_new","c(0:1)"
"eib2021","gen_clicon_2","q12_new","c(0:1)"
"eib2021","priority_concern_2","q13","c(1:2)"
"eib2021","climate_indbeh_2","q14","c(1:2)"
"eib2021","sup_govaction_2","q18r1","c(2:1)"
"eib2021","climate_tax_2","q18r2","c(2:1)"
"eib2021","sup_govaction_2","q18r3","c(2:1)"
"eib2021","sup_govaction_2","q18r4","c(2:1)"
"eib2021","sup_govaction_2","q18r5","c(2:1)"
"eib2021","climate_tax_2","q19r1","c(2:1)"
"eib2021","sup_govaction_2","q19r2","c(2:1)"
"eib2021","sup_govaction_2","q19r3","c(2:1)"
"eib2021","sup_govaction_2","q19r4","c(2:1)"
"eib2021","climate_tax_2","q19r5","c(2:1)"
"eib2021","sup_govaction_2","q19r6","c(1:2)"
"eib2021","sup_govaction_2","q19r8","c(2:1)"
"eib2022","gen_clicon_2","q1r3","c(2:1)"
"eib2022","gen_clicon_2","q2","c(1:2)"
"eib2022","gen_clicon_4","q3","c(1:4)"
"eib2022","climate_indbeh_2","q8","c(1:2)"
"eib2022","sup_govaction_4","q9r1","c(1,3, 4,2)"
"eib2022","climate_tax_4","q9r2","c(1,3, 4,2)"
"eib2022","sup_govaction_4","q9r3","c(1,3, 4,2)"
"eib2022","sup_govaction_4","q9r4","c(1,3, 4,2)"
"pew2021","climate_concern_4","climate_concern","c(4:1)"
"pew2021","gen_indchge_4","climate_behavior","c(4:1)"
"pew2021","intcomm_coop_4","climate_intlcommunity","c(4:1)"
"pipa2007","gen_clicon_3","q3.7","c(3:1)"
"pipa2007","gen_clicon_3","q262","c(1:3)"
"pipa2009","gen_clicon_4","q1","c(4:1)"
"pipa2009","gen_clicon_3","q2","c(2,3,1)"
"pipa2009","climate_eco_4","q3","c(4:1)"
"pipa2009","air_health_4","q4a","c(1:4)"
"pipa2009","air_health_4","q4d","c(1:4)"
"pipa2009","air_health_4","q4g","c(1:4)"
"pipa2009","gen_clicon_6","q7","c(6:1)"
"pipa2009","gen_clicon_3","q8","c(1,3,2)"
"pipa2009","gen_clicon_2","q9","c(2:1)"
"pipa2009","intcomm_coop_2","q11","c(2:1)"
"pipa2009","intcomm_coop_2","q12","c(2:1)"
"pipa2009","sup_govaction_2","q13","c(2:1)"
"pipa2009","climate_indtax_2","q14","c(2:1)"
"pipa2009","sup_govaction_4","q15a","c(4:1)"
"pipa2009","sup_govaction_4","q15b","c(4:1)"
"pipa2009","sup_govaction_4","q15c","c(4:1)"
"pipa2009","sup_govaction_4","q15d","c(4:1)"
"pipa200907","climate_pri_11","cc2","c(0:10)"
"ca2019","sup_cp_2","support_cp","c(0:1)"
"cacombo","climate_trade_2","captrade_bin","c(0:1)"
"cacombo","climate_tax_2","carbon_tax_bin","c(0:1)"
"swiss2019","climate_chg_2","climscep","c(0:1)"
"autnes2020_w13","gen_clicon_11","w13_q21","c(0:10)"
"autnes2020_w13","climate_eco_5","w13_q22x4","c(1:5)"
"autnes2020_w13","climate_pri_5","w13_q24x3","c(1:5)"
"autnes2020_w13","gen_clicon_5","w13_q24x4","c(1:5)"
"autnes2020_w13","gen_indchge_5","w13_q24x2","c(1:5)"
"autnes2020_w13","gen_indchge_5","w13_q24x5","c(1:5)"
"autnes2020_w13","gen_indchge_5","w13_q24x6","c(5:1)"
"autnes2020_w13","climate_tax_5","w13_q22x1","c(5:1)"
"autnes2020_w13","climate_tax_5","w13_q22x6","c(1:5)"
"autnes2020_w13","intcomm_coop_5","w13_q22x7","c(5:1)"
"autnes2020_w13","climate_indbeh_5","w13_q22x8","c(5:1)"
"autnes2020_w13","sup_govaction_11","w13_q23","c(0:10)"
"autnes2020_w13","climate_indtax_5","w13_q24x1","c(5:1)"
"autnes2020_w13","climate_chg_5","w13_q22x3","c(1:5)"
"autnes2020_w13","climate_eco_5","w13_q22x5","c(5:1)"
"autnes2019_w12","climate_tax_6","w12_q40x4","c(6:1)"
"autnes2019_w10","climate_chg_11","w10_q22x2","c(0:10)"
"autnes2019_w9","climate_chg_11","w9_q30x2","c(0:10)"
"autnes2019_w9","climate_chg_5","w9_q60x2","c(5:1)"
"autnes2019_w9","climate_chg_5","w9_q60x3","c(1:5)"
"autnes2019_w9","climate_chg_5","w9_q60x4","c(1:5)"
"autnes2019_w9","gen_clicon_5","w9_q60x1","c(1:5)"
"kgss","gen_clicon_2","entrbus","c(0:1)"
"kgss","gen_clicon_2","enprbfam","c(0:1)"
"kgss","climate_chg_4","atmoshol","c(1:4)"
"kgss","climate_chg_4","coalcauz","c(4:1)"
"kgss","gen_clicon_7","capa2","c(7:1)"
"kgss","gen_clicon_7","expos2","c(7:1)"
"kgss","gen_clicon_7","vulnerab2","c(7:1)"
"kgss","gen_clicon_7","haza2","c(7:1)"
"kgss","spe_indchge_4","drivless","c(4:1)"
"kgss","spe_indchge_4","redcehme","c(4:1)"
"eb973_c","climate_pri_2","qa4_new","c(0:1)"
"eb973","climate_pri_2","qc8_6","c(0:1)"
"eb973","climate_pri_4","qc9_3","c(4:1)"
"eb973","climate_chg_4","qc12_2","c(4:1)"
"eb973","climate_eco_4","qc12_3","c(1:4)"
"eb973","climate_chg_4","qc12_4","c(4:1)"
"eb972","sup_govaction_3","qb9","c(3,1, 2)"
"eb972","air_health_4","qb3_1","c(4:1)"
"eb972","air_health_4","qb3_2","c(4:1)"
"eb972","air_health_4","qb3_3","c(4:1)"
"eb963","gen_clicon_2","qa3_13","c(0:1)"
"eb963","gen_clicon_2","qa4_13","c(0:1)"
"eb962_c","gen_clicon_2","qa4_c","c(0:1)"
"eb953","gen_clicon_2","qa3a_14","c(0:1)"
"eb953","gen_clicon_2","qa4a_13","c(0:1)"
"eb953","gen_clicon_2","qa5_11","c(0:1)"
"eb952","gen_clicon_3","qa2_6","c(3:1)"
"eb952","climate_chg_2","qa20_9","c(2:1)"
"eb951_c","gen_clicon_2","qa9_c","c(0:1)"
"eb951_c","gen_clicon_2","qb1_c","c(0:1)"
"eb951_c","gen_clicon_10","qb2","c(1:10)"
"eb951_c","sup_govaction_3","qb7","c(3,1, 2)"
"eb951_c","sup_govaction_4","qb10","c(4:1)"
"eb943","gen_clicon_2","qa3a_14","c(0:1)"
"eb943","gen_clicon_2","qa4a_13","c(0:1)"
"eb943","gen_clicon_2","qa5_11","c(0:1)"
"eb942_c","gen_clicon_2","qb2_c","c(0:1)"
"eb941","gen_clicon_2","qa11_8","c(0:1)"
"eb941","gen_clicon_2","qa12_2","c(0:1)"
"eb941","gen_clicon_2","qa16_1","c(0:1)"
"tt2009","gen_clicon_4","q22_1","c(4:1)"
"tt2009","climate_eco_2","q28","c(2:1)"
"tt2009","gen_indchge_4","q26_2","c(4:1)"
"tt2005_c","gen_clicon_3","var032","c(3:1)"
"tt2005_c","gen_clicon_4","var039","c(4:1)"
"tt2006","gen_clicon_3","var042","c(3:1)"
"tt2006","gen_clicon_4","var051","c(4:1)"
"tt2007","gen_clicon_4","q8_7","c(4:1)"
"tt2008","gen_clicon_2","q9ab06","c(0:1)"
"tt2008","gen_clicon_4","q15_5","c(4:1)"
"tt2010_c","gen_clicon_2","q7_c","c(0:1)"
"lits_wave2","climate_indtax_2","q306c","c(2:1)"
"lits_wave2","gen_clicon_2","q401ad","c(0:1)"
"lits_wave2","gen_indchge_2","q402","c(2:1)"
"lits_wave2","gen_clicon_5","q404","c(1:5)"
"lits_wave2","gen_clicon_3","q406","c(1:3)"
"lits_wave2","gen_clicon_5","q407b","c(5:1)"
"lits_wave2","climate_chg_5","q407c","c(1:5)"
"lits_wave3","climate_indtax_2","q407c","c(2:1)"
"issp1993","climate_chg_4","v36","c(1:4)"
"issp1993","ghtem_serious_4","v52","c(4:1)"
"issp1993","ghtem_serious_2","v53","c(4:1)"
"issp1993","ghtem_serious_4","v72","c(4:1)"
"nsee_combo","gen_clicon_4","gw_scioverstate","c(4:1)"
"nsee_combo","gen_clicon_5","gw_threat","c(1:5)"
"nsee_combo","gen_clicon_4","ccvsgw_concern","c(4:1)"
"nsee_combo","climate_chg_2","cdr_knowledge","c(2:1)"
"eb431","gen_clicon_4","v139","c(4:1)"
"eb391","climate_chg_2","v47","c(0:1)"
"eb391","climate_chg_2","v48","c(0:1)"
"eb391","climate_chg_2","v49","c(0:1)"
"eb391","climate_chg_2","v50","c(1:0)"
"eb391","climate_chg_2","v51","c(1:0)"
"eb391","climate_chg_2","v52","c(0:1)"
"eb391","climate_chg_2","v53","c(0:1)"
"eb391","climate_chg_2","v54","c(0:1)"
"eb391","climate_chg_2","v55","c(0:1)"
"eb391","climate_chg_2","v56","c(0:1)"
"eb391","climate_chg_2","v57","c(0:1)"
"eb391","climate_chg_2","v58","c(1:0)"
"eb370","gen_clicon_4","v453","c(4:1)"
"eb370","gen_clicon_2","v566","c(2:1)"
"eb370","gen_clicon_2","v490","c(0:1)"
"issp2000","climate_chg_4","v31","c(1:4)"
"issp2000","climate_chg_4","v32","c(4:1)"
"issp2000","ghtem_serious_5","v38","c(5:1)"
"issp2010","gen_clicon_5","v43","c(5:1)"
"issp2010","climate_chg_4","v65","c(1:4)"
"issp2010","climate_chg_4","v66","c(4:1)"
"issp2020_c","climate_chg_4","v17","c(1:4)"
"issp2020_c","climate_chg_11","v18","c(10:0)"
"issp2020_c","climate_chg_11","v19","c(10:0)"
"issp2020_c","gen_clicon_5","v37","c(5:1)"
"issp2020_c","gen_clicon_5","v41","c(5:1)"
"afrob7","gen_clicon_5","q71","c(5:1)"
"afrob7","climate_chg_2","q73a","c(0:1)"
"afrob7","climate_chg_2","q74","c(2:1)"
"afrob7","gen_clicon_4","q76","c(0:3)"
"arabb5","gen_clicon_4","q108_1","c(4:1)"
"arabb5","gen_clicon_4","q108_2","c(4:1)"
"lb2007","climate_chg_4","p42n","c(4:1)"
"lb2007","gen_clicon_4","p43na","c(4:1)"
"lb2007","gen_clicon_4","p43nb","c(4:1)"
"lb2010","climate_chg_4","p47stmia","c(4:1)"
"lb2010","gen_clicon_4","p48st_a","c(4:1)"
"lb2010","gen_clicon_4","p48m_iab","c(4:1)"
"lb2011","gen_clicon_4","p52st_a","c(4:1)"
"lb2011","gen_clicon_4","p52st_b","c(4:1)"
"lb2017","gen_clicon_2","p51stma","c(0:1)"
"lb2017","climate_chg_4","p53n_d","c(1:4)"
"lb2017","gen_clicon_4","p59n","c(1:4)"
"lb2017","climate_eco_2","p60n","c(2:1)"
"lb2017","gen_clicon_2","p62na","c(0:1)"
"lb2017","gen_clicon_2","p62nc","c(0:1)"
"lb2017","gen_indchge_2","p63c","c(0:1)"
"lb2017","sup_govaction_2","p63e","c(0:1)"
"lb2017","intcomm_coop_2","p63f","c(0:1)"
"lb2017","gen_indchge_2","p63j","c(0:1)"
"lb2017","gen_indchge_2","p63k","c(0:1)"
"lb2017","gen_indchge_2","p63x","c(1:0)"
"pew2006","climate_chg_2","q42f_heard_globalwarm","c(2:1)"
"pew2006","gen_clicon_4","q42f_globalwarming","c(4:1)"
"pew2008","gen_clicon_4","q8b","c(4:1)"
"pew2008","gen_clicon_4","q33","c(4:1)"
"pew2010","gen_clicon_4","q45","c(4:1)"
"pew2010","climate_indtax_2","q46","c(2:1)"
"pew2013","gen_clicon_3","q11g","c(3:1)"
"pew2013","gen_clicon_4","q17a","c(4:1)"
"pew2014_india","gen_clicon_3","q11g","c(3:1)"
"pew2015","gen_clicon_4","q13a","c(4:1)"
"pew2015","gen_clicon_4","q32","c(4:1)"
"pew2015","gen_indchge_2","q33","c(2:1)"
"pew2015","sup_govaction_2","q40","c(2:1)"
"pew2015","gen_clicon_4","q41","c(4:1)"
"pew2015","gen_clicon_4","q42","c(4:1)"
"pew2015","gen_clicon_4","q60h","c(4:1)"
"pew2016","gen_clicon_4","q59c","c(4:1)"
"pew2016","gen_clicon_4","q60e","c(4:1)"
"pew2016","gen_clicon_3","q61c","c(2,3, 1)"
"pew2016","climate_eco_2","q62","c(2:1)"
"pew2016","gen_clicon_3","q22d","c(3:1)"
"pew2017","sup_govaction_2","trump_policy_climatechange","c(2:1)"
"pew2017","gen_clicon_3","intthreat_climatechange","c(3:1)"
"pew2017","gen_clicon_4","prob_air_pollution","c(4:1)"
"pew2017","gen_clicon_3","better_airpollution","c(2,3, 1)"
"pew2018","gen_clicon_3","intthreat_climatechange","c(3:1)"
"pew2018","gen_clicon_4","prob_air_pollution","c(4:1)"
"pew2020","gen_clicon_3","intthreat_climatechange","c(3:1)"
"pew2020","intcomm_coop_2","un_climate","c(2:1)"
"eb570","gen_clicon_2","v100","c(2:1)"
"eb570","climate_chg_2","v101","c(2:1)"
"eb570","climate_chg_2","v102","c(1:2)"
"eb570","climate_chg_2","v103","c(2:1)"
"eb570","climate_chg_2","v150","c(1:0)"
"eb570","climate_chg_2","v115","c(1:2)"
"eb570","spe_indchge_2","v120","c(0:1)"
"eb580","gen_clicon_4","v568","c(4:1)"
"eb580","climate_chg_4","v592","c(4:1)"
"eb672","sup_govaction_4","v312","c(4:1)"
"eb692","gen_clicon_2","v542","c(0:1)"
"eb692","gen_clicon_2","v695","c(0:1)"
"eb692","gen_clicon_10","v707","c(1:10)"
"eb692","climate_chg_4","v709","c(4:1)"
"eb692","climate_chg_4","v710","c(4:1)"
"eb692","climate_chg_4","v711","c(4:1)"
"eb692","sup_govaction_3","v712","c(1:3)"
"eb692","sup_govaction_3","v713","c(1:3)"
"eb692","gen_clicon_3","v714","c(1:3)"
"eb692","gen_indchge_3","v715","c(1:3)"
"eb692","climate_chg_4","v720","c(1:4)"
"eb692","climate_chg_4","v721","c(1:4)"
"eb692","climate_chg_4","v722","c(1:4)"
"eb692","climate_chg_4","v723","c(4:1)"
"eb692","climate_chg_4","v724","c(4:1)"
"eb692","climate_indbeh_300","v756","c(1:300)"
"eb692","sup_govaction_3","v758","c(1:3)"
"eb692","sup_govaction_3","v759","c(1:3)"
"eb692","sup_govaction_3","v760","c(1:3)"
"eb711","gen_clicon_2","v230","c(0:1)"
"eb711","gen_clicon_2","v377","c(0:1)"
"eb711","gen_clicon_2","v469","c(0:1)"
"eb711","gen_clicon_2","v511","c(0:1)"
"eb711","gen_clicon_10","v522","c(1:10)"
"eb711","climate_chg_4","v523","c(4:1)"
"eb711","climate_chg_4","v524","c(4:1)"
"eb711","climate_chg_4","v525","c(4:1)"
"eb711","climate_chg_4","v526","c(4:1)"
"eb711","climate_chg_4","v527","c(1:4)"
"eb711","climate_chg_4","v528","c(1:4)"
"eb711","climate_chg_4","v529","c(4:1)"
"eb711","climate_chg_4","v530","c(4:1)"
"eb721","gen_clicon_10","v385","c(1:10)"
"eb721","sup_govaction_3","v387","c(1:3)"
"eb721","sup_govaction_3","v388","c(1:3)"
"eb721","sup_govaction_3","v389","c(1:3)"
"eb721","gen_clicon_3","v390","c(1:3)"
"eb721","gen_indchge_3","v391","c(1:3)"
"eb721","climate_chg_4","v392","c(1:4)"
"eb721","climate_chg_4","v393","c(1:4)"
"eb721","climate_chg_4","v394","c(4:1)"
"eb721","climate_chg_4","v395","c(4:1)"
"eb721","climate_chg_4","v396","c(4:1)"
"eb721","climate_chg_4","v397","c(4:1)"
"eb721","climate_chg_4","v398","c(4:1)"
"eb721","climate_indbeh_100","v415","c(1:100)"
"eb721","climate_indbeh_8","v416","c(1:8)"
"eb734","gen_clicon_2","v331","c(0:1)"
"eb742","gen_clicon_2","v170","c(0:1)"
"eb742","gen_clicon_2","v188","c(0:1)"
"eb742","gen_clicon_2","v276","c(0:1)"
"eb742","gen_clicon_2","v367","c(0:1)"
"eb742","gen_clicon_2","v447","c(0:1)"
"eb751","climate_chg_4","v368","c(4:1)"
"eb751","climate_chg_4","v369","c(4:1)"
"eb751","climate_chg_4","v370","c(4:1)"
"eb751","climate_chg_3","v393","c(3:1)"
"eb751","climate_chg_2","v394","c(1:0)"
"eb751","climate_chg_2","v395","c(1:0)"
"eb751","climate_chg_2","v396","c(0:1)"
"eb751","climate_chg_2","v397","c(1:0)"
"eb751","climate_chg_2","v399","c(0:1)"
"eb751","climate_chg_2","v398","c(1:0)"
"eb751","climate_chg_2","v402","c(1:0)"
"eb751","climate_chg_4","v408","c(4:1)"
"eb751","climate_chg_3","v413","c(3:1)"
"eb751","sup_govaction_4","v428","c(4:1)"
"eb751","sup_govaction_4","v429","c(4:1)"
"eb751","sup_govaction_4","v430","c(4:1)"
"eb751","sup_govaction_4","v431","c(4:1)"
"eb751","sup_govaction_4","v432","c(1:4)"
"eb751","sup_govaction_4","v433","c(1:4)"
"eb751","sup_govaction_4","v434","c(4:1)"
"eb751","sup_govaction_4","v435","c(4:1)"
"eb751","sup_govaction_2","v436","c(2:1)"
"eb751","sup_govaction_4","v484","c(1:4)"
"eb751","sup_govaction_2","v485","c(1:0)"
"eb753","gen_clicon_2","v190","c(0:1)"
"eb753","gen_clicon_2","v208","c(0:1)"
"eb753","gen_clicon_2","v294","c(0:1)"
"eb753","gen_clicon_2","v370","c(0:1)"
"eb753","gen_clicon_2","v399","c(0:1)"
"eb753","sup_govaction_2","v437","c(0:1)"
"eb753","sup_govaction_2","v573","c(0:1)"
"eb754","gen_clicon_2","v247","c(0:1)"
"eb754","gen_clicon_2","v263","c(0:1)"
"eb754","gen_clicon_2","v546","c(0:1)"
"eb754","gen_clicon_10","v557","c(1:10)"
"eb754","sup_govaction_2","v559","c(0:1)"
"eb754","sup_govaction_2","v560","c(0:1)"
"eb754","sup_govaction_2","v561","c(0:1)"
"eb754","gen_clicon_2","v562","c(0:1)"
"eb754","gen_indchge_2","v563","c(0:1)"
"eb754","gen_clicon_2","v564","c(0:1)"
"eb754","climate_chg_4","v568","c(4:1)"
"eb754","climate_tax_4","v569","c(4:1)"
"eb763","gen_clicon_2","qa6a2_15","c(0:1)"
"eb763","gen_clicon_2","qa7a2_15","c(0:1)"
"eb763","gen_clicon_2","qa8_13","c(0:1)"
"eb763","gen_clicon_2","qb3t_1","c(0:1)"
"eb773","gen_clicon_2","qa7a_13","c(0:1)"
"eb773","gen_clicon_2","qa8a_12","c(0:1)"
"eb773","sup_govaction_2","qd1_25","c(0:1)"
"eb773","sup_govaction_2","qd1_26","c(0:1)"
"eb773","gen_clicon_2","qa9_13","c(0:1)"
"eb773","gen_clicon_2","qa23_14","c(0:1)"
"eb781","gen_clicon_2","qa5a_13","c(0:1)"
"eb781","gen_clicon_2","qa6a_12","c(0:1)"
"eb781","sup_govaction_2","qd1_25","c(0:1)"
"eb781","sup_govaction_2","qd1_26","c(0:1)"
"eb781","gen_clicon_2","qa7_13","c(0:1)"
"eb793","gen_clicon_2","qa7a_12","c(0:1)"
"eb793","gen_clicon_2","qa8_11","c(0:1)"
"eb793","sup_govaction_2","qd1_25","c(0:1)"
"eb801","gen_clicon_2","qa4a_13","c(0:1)"
"eb801","gen_clicon_2","qa5a_12","c(0:1)"
"eb801","sup_govaction_2","qd1_25","c(0:1)"
"eb801","sup_govaction_2","qd1_26","c(0:1)"
"eb801","gen_clicon_2","qa6_13","c(0:1)"
"eb802_c","climate_chg_4","qa4_1","c(4:1)"
"eb802_c","gen_clicon_2","qa1t_1","c(0:1)"
"eb802_c","gen_clicon_2","qa3_1","c(0:1)"
"eb814","gen_clicon_2","qa4a_13","c(0:1)"
"eb814","gen_clicon_2","qa5a_12","c(0:1)"
"eb814","gen_clicon_2","qa6_13","c(0:1)"
"eb823","gen_clicon_2","qa3a_13","c(0:1)"
"eb823","gen_clicon_2","qa4a_12","c(0:1)"
"eb823","gen_clicon_2","qa5_13","c(0:1)"
"eb832","gen_clicon_4","qa6_4","c(4:1)"
"eb833","sup_govaction_2","qe3t_6","c(0:1)"
"eb833","gen_clicon_2","qa4a_12","c(0:1)"
"eb833","gen_clicon_2","qa5_13","c(0:1)"
"eb833","gen_clicon_2","qa3a_13","c(0:1)"
"eb834","gen_clicon_10","qa2","c(1:10)"
"eb834","sup_govaction_2","qa3_1","c(0:1)"
"eb834","sup_govaction_2","qa3_2","c(0:1)"
"eb834","sup_govaction_2","qa3_3","c(0:1)"
"eb834","gen_clicon_2","qa3_4","c(0:1)"
"eb834","gen_indchge_2","qa3_5","c(0:1)"
"eb834","gen_clicon_2","qa3_6","c(0:1)"
"eb834","gen_clicon_2","qa3_7","c(0:1)"
"eb834","gen_clicon_2","qa3_8","c(0:1)"
"eb834","climate_chg_4","qa4_1","c(4:1)"
"eb834","intcomm_coop_4","qa4_2","c(4:1)"
"eb843","gen_clicon_2","qa3a_13","c(0:1)"
"eb843","gen_clicon_2","qa4a_12","c(0:1)"
"eb843","gen_clicon_2","qa5_13","c(0:1)"
"eb852","gen_clicon_2","qa3a_13","c(0:1)"
"eb852","gen_clicon_2","qa4a_12","c(0:1)"
"eb852","gen_clicon_2","qa5_13","c(0:1)"
"eb862","gen_clicon_2","qa3a_13","c(0:1)"
"eb862","gen_clicon_2","qa4a_12","c(0:1)"
"eb862","gen_clicon_2","qa5_13","c(0:1)"
"eb802_c","sup_govaction_2","qa3_2","c(0:1)"
"eb802_c","sup_govaction_2","qa3_3","c(0:1)"
"eb802_c","gen_clicon_2","qa3_4","c(0:1)"
"eb802_c","gen_indchge_2","qa3_5","c(0:1)"
"eb802_c","gen_clicon_2","qa3_6","c(0:1)"
"eb802_c","gen_clicon_2","qa3_7","c(0:1)"
"eb802_c","gen_clicon_2","qa3_8","c(0:1)"
"eb871","gen_clicon_2","qc1t_1","c(0:1)"
"eb871","gen_clicon_10","qc2","c(1:10)"
"eb871","sup_govaction_2","qc3_1","c(0:1)"
"eb871","sup_govaction_2","qc3_2","c(0:1)"
"eb871","sup_govaction_2","qc3_3","c(0:1)"
"eb871","gen_clicon_2","qc3_4","c(0:1)"
"eb871","gen_indchge_2","qc3_5","c(0:1)"
"eb871","gen_clicon_2","qc3_6","c(0:1)"
"eb871","gen_clicon_2","qc3_7","c(0:1)"
"eb871","gen_clicon_2","qc3_8","c(0:1)"
"eb871","climate_chg_4","qc4_1","c(4:1)"
"eb871","sup_govaction_4","qc4_5","c(4:1)"
"eb871","sup_govaction_4","qc7","c(4:1)"
"eb871","sup_govaction_4","qc8","c(4:1)"
"nsee_combo","air_health_4","gwimpacts_disease","c(4:1)"
"nsee_combo","sup_govaction_4","intl_economicimpact","c(1:4)"
"nsee_combo","sup_govaction_4","intl_support_v1","c(4:1)"
"nsee_combo","sup_govaction_5","intl_support_v2","c(5:1)"
"nsee_combo","climate_chg_2","science_co2vsmethane","c(1:2)"
"nsee_combo","climate_chg_2","science_flooding","c(2:1)"
"nsee_combo","climate_chg_2","science_ozonehole","c(1:2)"
"eb883","gen_clicon_2","qa3a_13","c(0:1)"
"eb883","gen_clicon_2","qa4b_13","c(0:1)"
"eb883","gen_clicon_2","qa5_13","c(0:1)"
"eb902","climate_chg_4","qb1","c(4:1)"
"eb902","sup_govaction_4","qb5_5","c(4:1)"
"eb913_c","gen_clicon_2","qb1_c","c(0:1)"
"eb913_c","sup_govaction_4","qb4_4","c(4:1)"
"eb913_c","gen_indchge_2","qb5","c(2:1)"
"eb913_c","sup_govaction_4","qb7","c(4:1)"
"eb913_c","sup_govaction_4","qb8","c(4:1)"
"eb913_c","sup_govaction_4","qb9","c(4:1)"
"eb914","sup_govaction_2","qb9","c(0:1)"
"eb914","sup_govaction_4","qb2_2","c(4:1)"
"eb924","gen_clicon_10","qa2_1","c(1:10)"
"eb924","gen_clicon_10","qa2_2","c(1:10)"
"eb924","gen_clicon_2","qa3_8","c(0:1)"
"eb511_c","gen_clicon_4","v47","c(4:1)"
"eb511_c","gen_clicon_4","v48","c(4:1)"
"eb511_c","gen_clicon_4","v49","c(4:1)"
"eb511_c","gen_clicon_3","v56","c(2, 3, 1)"
"eb511_c","gen_clicon_3","v58","c(2, 3, 1)"
"eb511_c","gen_clicon_3","v93","c(1:3)"
"eb802_c","gen_clicon_2","qa1_c","c(0:1)"
"eb802_c","gen_clicon_11","qa2","c(0:10)"
"eb802_c","sup_govaction_4","qa7","c(4:1)"
"eb802_c","sup_govaction_4","qa8","c(4:1)"
"eb834","gen_clicon_2","qa1t_1","c(0:1)"
"eb852_c","gen_clicon_2","qa5_13","c(0:1)"
"eb852_c","climate_pri_2","qb3_6","c(0:1)"
"eb682_c","gen_clicon_2","qa5_13","c(0:1)"
"eb682_c","climate_pri_2","qb3_6","c(0:1)"
"eb621","gen_clicon_2","v271","c(0:1)"
"eb570","climate_chg_2","v104","c(2:1)"
"eb570","climate_chg_2","v105","c(2:1)"
"eb431","gen_clicon_4","v138","c(4:1)"
"lb2017","climate_chg_4","p53n_i","c(4:1)"
