"survey","item","variable","values"
"eb370","gen_evncon_2","v497","c(0:1)"
"eb370","gen_clicon_2","v490","c(0:1)"
"issp2000","climate_chg_4","v31","c(1:4)"
"issp2000","climate_chg_4","v32","c(4:1)"
"issp2000","ghtem_serious_5","v38","c(5:1)"
"issp2010","gen_clicon_5","v43","c(5:1)"
"issp2010","climate_chg_4","v65","c(1:4)"
"issp2010","climate_chg_4","v66","c(4:1)"
"issp2020_c","climate_chg_4","v17","c(1:4)"
"issp2020_c","climate_chg_11","v18","c(10:0)"
"issp2020_c","climate_chg_11","v19","c(10:0)"
"issp2020_c","gen_clicon_5","v37","c(5:1)"
"issp2020_c","gen_clicon_5","v41","c(5:1)"
"afrob7","gen_clicon_5","q71","c(5:1)"
"afrob7","climate_chg_2","q73a","c(0:1)"
"afrob7","climate_chg_2","q74","c(2:1)"
"afrob7","gen_clicon_4","q76","c(0:3)"
"arabb5","gen_clicon_4","q108_1","c(4:1)"
"arabb5","gen_clicon_4","q108_2","c(4:1)"
"lb2007","climate_chg_4","p42n","c(4:1)"
"lb2007","gen_clicon_4","p43na","c(4:1)"
"lb2007","gen_clicon_4","p43nb","c(4:1)"
"lb2010","climate_chg_4","p47stmia","c(4:1)"
"lb2010","gen_clicon_4","p48st_a","c(4:1)"
"lb2010","gen_clicon_4","p48m_iab","c(4:1)"
"lb2011","gen_clicon_4","p52st_a","c(4:1)"
"lb2011","gen_clicon_4","p52st_b","c(4:1)"
"lb2017","gen_clicon_2","p51stma","c(0:1)"
"lb2017","climate_chg_4","p53n_d","c(1:4)"
"lb2017","gen_clicon_4","p59n","c(1:4)"
"lb2017","climate_eco_2","p60n","c(2:1)"
"lb2017","gen_clicon_2","p62na","c(0:1)"
"lb2017","gen_clicon_2","p62nc","c(0:1)"
"lb2017","gen_indchge_2","p63c","c(0:1)"
"lb2017","sup_govaction_2","p63e","c(0:1)"
"lb2017","intcomm_coop_2","p63f","c(0:1)"
"lb2017","gen_indchge_2","p63j","c(0:1)"
"lb2017","gen_indchge_2","p63k","c(0:1)"
"lb2017","gen_indchge_2","p63x","c(1:0)"
"pew2006","climate_chg_2","q42f_heard_globalwarm","c(2:1)"
"pew2006","gen_clicon_4","q42f_globalwarming","c(4:1)"
"pew2008","gen_clicon_4","q8b","c(4:1)"
"pew2008","gen_clicon_4","q33","c(4:1)"
"pew2010","gen_clicon_4","q45","c(4:1)"
"pew2010","climate_indtax_2","q46","c(2:1)"
"pew2013","gen_clicon_3","q11g","c(3:1)"
"pew2013","gen_clicon_4","q17a","c(4:1)"
"pew2014_india","gen_clicon_3","q11g","c(3:1)"
"pew2015","gen_clicon_4","q13a","c(4:1)"
"pew2015","gen_clicon_4","q32","c(4:1)"
"pew2015","gen_indchge_2","q33","c(2:1)"
"pew2015","sup_govaction_2","q40","c(2:1)"
"pew2015","gen_clicon_4","q41","c(4:1)"
"pew2015","gen_clicon_4","q42","c(4:1)"
"pew2015","gen_clicon_4","q60h","c(4:1)"
"pew2016","gen_clicon_4","q59c","c(4:1)"
"pew2016","gen_clicon_4","q60e","c(4:1)"
"pew2016","gen_clicon_3","q61c","c(2,3, 1)"
"pew2016","climate_eco_2","q62","c(2:1)"
"pew2016","gen_clicon_3","q22d","c(3:1)"
"pew2017","sup_govaction_2","trump_policy_climatechange","c(2:1)"
"pew2017","gen_clicon_3","intthreat_climatechange","c(3:1)"
"pew2017","gen_clicon_4","prob_air_pollution","c(4:1)"
"pew2017","gen_clicon_3","better_airpollution","c(2,3, 1)"
"pew2018","gen_clicon_3","intthreat_climatechange","c(3:1)"
"pew2018","gen_clicon_4","prob_air_pollution","c(4:1)"
"pew2020","gen_clicon_3","intthreat_climatechange","c(3:1)"
"pew2020","intcomm_coop_2","un_climate","c(2:1)"
"eb570","gen_clicon_2","v100","c(2:1)"
"eb570","climate_chg_2","v101","c(2:1)"
"eb570","climate_chg_2","v102","c(1:2)"
"eb570","climate_chg_2","v103","c(2:1)"
"eb570","climate_chg_2","v150","c(1:0)"
"eb570","climate_chg_2","v115","c(1:2)"
"eb570","spe_indchge_2","v120","c(0:1)"
"eb580","gen_clicon_4","v568","c(4:1)"
"eb580","climate_chg_4","v592","c(4:1)"
"eb672","sup_govaction_4","v312","c(4:1)"
"eb692","gen_clicon_2","v542","c(0:1)"
"eb692","gen_clicon_2","v695","c(0:1)"
"eb692","gen_clicon_10","v707","c(1:10)"
"eb692","climate_chg_4","v709","c(4:1)"
"eb692","climate_chg_4","v710","c(4:1)"
"eb692","climate_chg_4","v711","c(4:1)"
"eb692","sup_govaction_3","v712","c(1:3)"
"eb692","sup_govaction_3","v713","c(1:3)"
"eb692","gen_clicon_3","v714","c(1:3)"
"eb692","gen_indchge_3","v715","c(1:3)"
"eb692","climate_chg_4","v720","c(1:4)"
"eb692","climate_chg_4","v721","c(1:4)"
"eb692","climate_chg_4","v722","c(1:4)"
"eb692","climate_chg_4","v723","c(4:1)"
"eb692","climate_chg_4","v724","c(4:1)"
"eb692","climate_indbeh_300","v756","c(1:300)"
"eb692","sup_govaction_3","v758","c(1:3)"
"eb692","sup_govaction_3","v759","c(1:3)"
"eb692","sup_govaction_3","v760","c(1:3)"
"eb711","gen_clicon_2","v230","c(0:1)"
"eb711","gen_clicon_2","v377","c(0:1)"
"eb711","gen_clicon_2","v469","c(0:1)"
"eb711","gen_clicon_2","v511","c(0:1)"
"eb711","gen_clicon_10","v522","c(1:10)"
"eb711","climate_chg_4","v523","c(4:1)"
"eb711","climate_chg_4","v524","c(4:1)"
"eb711","climate_chg_4","v525","c(4:1)"
"eb711","climate_chg_4","v526","c(4:1)"
"eb711","climate_chg_4","v527","c(1:4)"
"eb711","climate_chg_4","v528","c(1:4)"
"eb711","climate_chg_4","v529","c(4:1)"
"eb711","climate_chg_4","v530","c(4:1)"
"eb721","gen_clicon_10","v385","c(1:10)"
"eb721","sup_govaction_3","v387","c(1:3)"
"eb721","sup_govaction_3","v388","c(1:3)"
"eb721","sup_govaction_3","v389","c(1:3)"
"eb721","gen_clicon_3","v390","c(1:3)"
"eb721","gen_indchge_3","v391","c(1:3)"
"eb721","climate_chg_4","v392","c(1:4)"
"eb721","climate_chg_4","v393","c(1:4)"
"eb721","climate_chg_4","v394","c(4:1)"
"eb721","climate_chg_4","v395","c(4:1)"
"eb721","climate_chg_4","v396","c(4:1)"
"eb721","climate_chg_4","v397","c(4:1)"
"eb721","climate_chg_4","v398","c(4:1)"
"eb721","climate_indbeh_100","v415","c(1:100)"
"eb721","climate_indbeh_8","v416","c(1:8)"
"eb734","gen_clicon_2","v331","c(0:1)"
"eb742","gen_clicon_2","v170","c(0:1)"
"eb742","gen_clicon_2","v188","c(0:1)"
"eb742","gen_clicon_2","v276","c(0:1)"
"eb742","gen_clicon_2","v367","c(0:1)"
"eb742","gen_clicon_2","v447","c(0:1)"
"eb751","climate_chg_4","v368","c(4:1)"
"eb751","climate_chg_4","v369","c(4:1)"
"eb751","climate_chg_4","v370","c(4:1)"
"eb751","climate_chg_3","v393","c(3:1)"
"eb751","climate_chg_2","v394","c(1:0)"
"eb751","climate_chg_2","v395","c(1:0)"
"eb751","climate_chg_2","v396","c(0:1)"
"eb751","climate_chg_2","v397","c(1:0)"
"eb751","climate_chg_2","v399","c(0:1)"
"eb751","climate_chg_2","v398","c(1:0)"
"eb751","climate_chg_2","v402","c(1:0)"
"eb751","climate_chg_4","v408","c(4:1)"
"eb751","climate_chg_3","v413","c(3:1)"
"eb751","sup_govaction_4","v428","c(4:1)"
"eb751","sup_govaction_4","v429","c(4:1)"
"eb751","sup_govaction_4","v430","c(4:1)"
"eb751","sup_govaction_4","v431","c(4:1)"
"eb751","sup_govaction_4","v432","c(1:4)"
"eb751","sup_govaction_4","v433","c(1:4)"
"eb751","sup_govaction_4","v434","c(4:1)"
"eb751","sup_govaction_4","v435","c(4:1)"
"eb751","sup_govaction_2","v436","c(2:1)"
"eb751","sup_govaction_4","v484","c(1:4)"
"eb751","sup_govaction_2","v485","c(1:0)"
"eb753","gen_clicon_2","v190","c(0:1)"
"eb753","gen_clicon_2","v208","c(0:1)"
"eb753","gen_clicon_2","v294","c(0:1)"
"eb753","gen_clicon_2","v370","c(0:1)"
"eb753","gen_clicon_2","v399","c(0:1)"
"eb753","sup_govaction_2","v437","c(0:1)"
"eb753","sup_govaction_2","v573","c(0:1)"
"eb754","gen_clicon_2","v247","c(0:1)"
"eb754","gen_clicon_2","v263","c(0:1)"
"eb754","gen_clicon_2","v546","c(0:1)"
"eb754","gen_clicon_10","v557","c(1:10)"
"eb754","sup_govaction_2","v559","c(0:1)"
"eb754","sup_govaction_2","v560","c(0:1)"
"eb754","sup_govaction_2","v561","c(0:1)"
"eb754","gen_clicon_2","v562","c(0:1)"
"eb754","gen_indchge_2","v563","c(0:1)"
"eb754","gen_clicon_2","v564","c(0:1)"
"eb754","climate_chg_4","v568","c(4:1)"
"eb754","climate_tax_4","v569","c(4:1)"
"eb763","gen_clicon_2","qa6a2_15","c(0:1)"
"eb763","gen_clicon_2","qa7a2_15","c(0:1)"
"eb763","gen_clicon_2","qa8_13","c(0:1)"
"eb763","gen_clicon_2","qb3t_1","c(0:1)"
"eb773","gen_clicon_2","qa7a_13","c(0:1)"
"eb773","gen_clicon_2","qa8a_12","c(0:1)"
"eb773","sup_govaction_2","qd1_25","c(0:1)"
"eb773","sup_govaction_2","qd1_26","c(0:1)"
"eb773","gen_clicon_2","qa9_13","c(0:1)"
"eb773","gen_clicon_2","qa23_14","c(0:1)"
"eb781","gen_clicon_2","qa5a_13","c(0:1)"
"eb781","gen_clicon_2","qa6a_12","c(0:1)"
"eb781","sup_govaction_2","qd1_25","c(0:1)"
"eb781","sup_govaction_2","qd1_26","c(0:1)"
"eb781","gen_clicon_2","qa7_13","c(0:1)"
"eb793","gen_clicon_2","qa7a_12","c(0:1)"
"eb793","gen_clicon_2","qa8_11","c(0:1)"
"eb793","sup_govaction_2","qd1_25","c(0:1)"
"eb801","gen_clicon_2","qa4a_13","c(0:1)"
"eb801","gen_clicon_2","qa5a_12","c(0:1)"
"eb801","sup_govaction_2","qd1_25","c(0:1)"
"eb801","sup_govaction_2","qd1_26","c(0:1)"
"eb801","gen_clicon_2","qa6_13","c(0:1)"
"eb802_c","climate_chg_4","qa4_1","c(4:1)"
"eb802_c","gen_clicon_2","qa1t_1","c(0:1)"
"eb802_c","gen_clicon_2","qa3_1","c(0:1)"
"eb814","gen_clicon_2","qa4a_13","c(0:1)"
"eb814","gen_clicon_2","qa5a_12","c(0:1)"
"eb814","gen_clicon_2","qa6_13","c(0:1)"
"eb823","gen_clicon_2","qa3a_13","c(0:1)"
"eb823","gen_clicon_2","qa4a_12","c(0:1)"
"eb823","gen_clicon_2","qa5_13","c(0:1)"
"eb832","gen_clicon_4","qa6_4","c(4:1)"
"eb833","sup_govaction_2","qe3t_6","c(0:1)"
"eb833","gen_clicon_2","qa4a_12","c(0:1)"
"eb833","gen_clicon_2","qa5_13","c(0:1)"
"eb833","gen_clicon_2","qa3a_13","c(0:1)"
"eb834","gen_clicon_10","qa2","c(1:10)"
"eb834","sup_govaction_2","qa3_1","c(0:1)"
"eb834","sup_govaction_2","qa3_2","c(0:1)"
"eb834","sup_govaction_2","qa3_3","c(0:1)"
"eb834","gen_clicon_2","qa3_4","c(0:1)"
"eb834","gen_indchge_2","qa3_5","c(0:1)"
"eb834","gen_clicon_2","qa3_6","c(0:1)"
"eb834","gen_clicon_2","qa3_7","c(0:1)"
"eb834","gen_clicon_2","qa3_8","c(0:1)"
"eb834","climate_chg_4","qa4_1","c(4:1)"
"eb834","intcomm_coop_4","qa4_2","c(4:1)"
"eb834","gh_env_4","qb4_5","c(4:1)"
"eb834","gh_env_4","qb7_5","c(4:1)"
"eb843","gen_clicon_2","qa3a_13","c(0:1)"
"eb843","gen_clicon_2","qa4a_12","c(0:1)"
"eb843","gen_clicon_2","qa5_13","c(0:1)"
"eb852","gen_clicon_2","qa3a_13","c(0:1)"
"eb852","gen_clicon_2","qa4a_12","c(0:1)"
"eb852","gen_clicon_2","qa5_13","c(0:1)"
"eb862","gen_clicon_2","qa3a_13","c(0:1)"
"eb862","gen_clicon_2","qa4a_12","c(0:1)"
"eb862","gen_clicon_2","qa5_13","c(0:1)"
"eb802_c","sup_govaction_2","qa3_2","c(0:1)"
"eb802_c","sup_govaction_2","qa3_3","c(0:1)"
"eb802_c","gen_clicon_2","qa3_4","c(0:1)"
"eb802_c","gen_indchge_2","qa3_5","c(0:1)"
"eb802_c","gen_clicon_2","qa3_6","c(0:1)"
"eb802_c","gen_clicon_2","qa3_7","c(0:1)"
"eb802_c","gen_clicon_2","qa3_8","c(0:1)"
"eb871","gen_clicon_2","qc1t_1","c(0:1)"
"eb871","gen_clicon_10","qc2","c(1:10)"
"eb871","sup_govaction_2","qc3_1","c(0:1)"
"eb871","sup_govaction_2","qc3_2","c(0:1)"
"eb871","sup_govaction_2","qc3_3","c(0:1)"
"eb871","gen_clicon_2","qc3_4","c(0:1)"
"eb871","gen_indchge_2","qc3_5","c(0:1)"
"eb871","gen_clicon_2","qc3_6","c(0:1)"
"eb871","gen_clicon_2","qc3_7","c(0:1)"
"eb871","gen_clicon_2","qc3_8","c(0:1)"
"eb871","climate_chg_4","qc4_1","c(4:1)"
"eb871","sup_govaction_4","qc4_5","c(4:1)"
"eb871","sup_govaction_4","qc7","c(4:1)"
"eb871","sup_govaction_4","qc8","c(4:1)"
"nsee_combo","gh_env_4","gwimpacts_areas","c(4:1)"
"nsee_combo","air_health_4","gwimpacts_disease","c(4:1)"
"nsee_combo","gh_env_4","gwimpacts_droughts","c(4:1)"
"nsee_combo","gh_env_4","gwimpacts_species","c(4:1)"
"nsee_combo","gh_env_4","gwimpacts_storms","c(4:1)"
"nsee_combo","sup_govaction_4","intl_economicimpact","c(1:4)"
"nsee_combo","sup_govaction_4","intl_support_v1","c(4:1)"
"nsee_combo","sup_govaction_5","intl_support_v2","c(5:1)"
"nsee_combo","climate_chg_2","science_co2vsmethane","c(1:2)"
"nsee_combo","climate_chg_2","science_flooding","c(2:1)"
"nsee_combo","climate_chg_2","science_ozonehole","c(1:2)"
"eb883","gen_clicon_2","qa3a_13","c(0:1)"
"eb883","gen_clicon_2","qa4b_13","c(0:1)"
"eb883","gen_clicon_2","qa5_13","c(0:1)"
"eb902","climate_chg_4","qb1","c(4:1)"
"eb902","gh_env_4","qb2_1","c(4:1)"
"eb902","gh_env_4","qb2_2","c(4:1)"
"eb902","gh_env_4","qb2_3","c(4:1)"
"eb902","gh_env_4","qb2_4","c(4:1)"
"eb902","gh_env_4","qb2_5","c(4:1)"
"eb902","gh_env_4","qb2_6","c(4:1)"
"eb902","sup_govaction_4","qb5_5","c(4:1)"
"eb913_c","gen_clicon_2","qb1_c","c(0:1)"
"eb913_c","sup_govaction_4","qb4_4","c(4:1)"
"eb913_c","gen_indchge_2","qb5","c(2:1)"
"eb913_c","sup_govaction_4","qb7","c(4:1)"
"eb913_c","sup_govaction_4","qb8","c(4:1)"
"eb913_c","sup_govaction_4","qb9","c(4:1)"
"eb914","sup_govaction_2","qb9","c(0:1)"
"eb914","sup_govaction_4","qb2_2","c(4:1)"
"eb904","gh_env_4","qa2_5","c(4:1)"
"eb924","gen_clicon_10","qa2_1","c(1:10)"
"eb924","gen_clicon_10","qa2_2","c(1:10)"
"eb924","gen_clicon_2","qa3_8","c(0:1)"
"eb924","gen_evncon_4","qa1","c(4:1)"
"eb924","envact_gov_3","qa9_4","c(3:1)"
"eb511_c","gen_evncon_2","venv","c(0:1)"
"eb511_c","gen_evncon_3","v43","c(3, 2, 1)"
"eb511_c","env_seriplant_4","v44","c(4:1)"
"eb511_c","env_seriplant_4","v46","c(4:1)"
"eb511_c","gen_clicon_4","v47","c(4:1)"
"eb511_c","gen_clicon_4","v48","c(4:1)"
"eb511_c","gen_clicon_4","v49","c(4:1)"
"eb511_c","env_seriplant_3","v53","c(2, 3, 1)"
"eb511_c","env_seriplant_3","v55","c(2, 3, 1)"
"eb511_c","gen_clicon_3","v56","c(2, 3, 1)"
"eb511_c","env_serairpoll_3","v57","c(2, 3, 1)"
"eb511_c","gen_clicon_3","v58","c(2, 3, 1)"
"eb511_c","env_serairpoll_3","v86","c(1:3)"
"eb511_c","gen_clicon_3","v93","c(1:3)"
"eb511_c","env_serairpoll_4","v75","c(4:1)"
"eb802_c","gen_clicon_2","qa1_c","c(0:1)"
"eb802_c","gen_clicon_11","qa2","c(0:10)"
"eb802_c","sup_govaction_4","qa7","c(4:1)"
"eb802_c","sup_govaction_4","qa8","c(4:1)"
"eb834","gen_clicon_2","qa1t_1","c(0:1)"
"eb852_c","gen_evncon_2","qa3_c","c(0:1)"
"eb852_c","gen_evncon_2","qa4_c","c(0:1)"
"eb852_c","gen_evncon_2","qa5_11","c(0:1)"
"eb852_c","gen_clicon_2","qa5_13","c(0:1)"
"eb852_c","gen_evncon_2","qb3_4","c(0:1)"
"eb852_c","climate_pri_2","qb3_6","c(0:1)"
"eb682_c","gen_evncon_2","qa3_c","c(0:1)"
"eb682_c","gen_evncon_2","qa4_c","c(0:1)"
"eb682_c","gen_evncon_2","qa5_11","c(0:1)"
"eb682_c","gen_clicon_2","qa5_13","c(0:1)"
"eb682_c","gen_evncon_2","qb3_4","c(0:1)"
"eb682_c","climate_pri_2","qb3_6","c(0:1)"
"eb621","gen_clicon_2","v271","c(0:1)"
"eb621","gh_env_2","v279","c(0:1)"
"eb621","envact_govaction_2","v104","c(0:1)"
"eb621","gen_evncon_4","v120","c(1:4)"
"eb621","gen_evncon_5","v132","c(4, 3, 5, 2, 1)"
"eb621","envimp_eco_2","v146","c(2:1)"
"eb621","gen_evncon_4","v307","c(4:1)"
"eb621","envimp_eco_2","v310","c(2:1)"
"eb621","envimp_eco_4","v311","c(4:1)"
"eb621","envact_indgen_4","v312","c(4:1)"
"eb621","gen_evncon_2","v325","c(1:0)"
"eb570","climate_chg_2","v104","c(2:1)"
"eb570","climate_chg_2","v105","c(2:1)"
"eb431","env_seriplant_4","v135","c(4:1)"
"eb431","env_seriplant_4","v137","c(4:1)"
"eb431","gen_clicon_4","v138","c(4:1)"
"lb2017","climate_chg_4","p53n_i","c(4:1)"
